iter	RMSE
195	0.5597513385
196	0.5593621323
197	0.5589337389
198	0.5587190401
199	0.5583766331
200	0.5581556604
201	0.5578881184
202	0.5576366448
203	0.5572439992
204	0.5572275425
205	0.5566593885
206	0.556344179
207	0.556264507
208	0.5561929154
209	0.5558124969
210	0.5554340603
211	0.5550905879
212	0.5547605417
213	0.5543549018
214	0.5540237429
215	0.5538935382
216	0.5536220715
217	0.5531452773
218	0.5529159677
219	0.5525413845
220	0.5521419209
221	0.5520164281
222	0.5519144596
223	0.5517633066
224	0.5514395929
225	0.55113336
226	0.5508320693
227	0.5506175628
228	0.5504567301
229	0.5501633007
230	0.549898738
231	0.549733581
232	0.5495808077
233	0.5492238238
234	0.5489104531
235	0.5483511579
236	0.5480310762
237	0.5476289919
238	0.5473845176
239	0.5473679616
240	0.5470542729
241	0.5465249137
242	0.5463493305
243	0.5460510933
244	0.545764752
245	0.5457486418
246	0.5452967409
247	0.5449461057
248	0.5446752717
249	0.5445295246
250	0.5445146701
251	0.5442579662
252	0.5440235681
253	0.543669591
254	0.5434500244
255	0.5429879229
256	0.5427624559
257	0.5423058597
258	0.5420949388
259	0.5417291856
260	0.541713351
261	0.5412559698
262	0.5408088873
263	0.5405316884
264	0.5403106326
265	0.5400268975
266	0.5397474125
267	0.5395079937
268	0.5389887023
269	0.5389540954
270	0.5385993262
271	0.5385343078
272	0.5383172364
273	0.5379841359
274	0.5378551829
275	0.5376295778
276	0.5375627467
277	0.5373896846
278	0.5372303191
279	0.5370003352
280	0.5367272408
281	0.5362619081
282	0.5359101428
283	0.535898102
284	0.5357829019
285	0.5357399571
286	0.5353758806
287	0.5351642254
288	0.5347140974
289	0.5344225776
290	0.5343152186
291	0.5339560853
292	0.53375272
293	0.5334848618
294	0.5332197153
295	0.532876842
296	0.5328662673
297	0.5325351277
298	0.5321006562
299	0.5315778241
300	0.5314286225
301	0.5310871546
302	0.5308420982
303	0.530679699
304	0.5305218802
305	0.5302602405
306	0.5299797713
307	0.5296357196
308	0.5291931228
309	0.5288498504
310	0.5286168934
311	0.528352875
312	0.5282081722
313	0.5281170505
314	0.5281047669
315	0.5279574063
316	0.5277899424
317	0.527571184
318	0.5271983752
319	0.5269003838
320	0.5266939439
321	0.5266138335
322	0.526371996
323	0.5259393377
324	0.5256910947
325	0.5252946949
326	0.5250532492
327	0.5247020196
328	0.5246386472
329	0.5241999536
330	0.5239711029
331	0.5235259714
332	0.5234876985
333	0.5234555798
334	0.5229297874
335	0.5226669408
336	0.5223738274
337	0.5222100274
338	0.5218441447
339	0.5216048946
340	0.5214850142
341	0.5212420476
342	0.5209860428
343	0.5206977665
344	0.5203984491
345	0.520373671
346	0.5199308376
347	0.5195248107
348	0.5192133399
349	0.5187988855
350	0.5183533974
351	0.5178216846
352	0.5177939326
353	0.5176705976
354	0.5176539408
355	0.5173651608
356	0.5171392366
357	0.5166460062
358	0.5164484767
359	0.5162615122
360	0.5159510345
361	0.5156989136
362	0.5154505273
363	0.5152191798
364	0.5146929561
365	0.514525037
366	0.5140585484
367	0.5139970346
368	0.5137013807
369	0.5136706588
370	0.5132744254
371	0.5128873829
372	0.5128624744
373	0.5125463387
374	0.5123104513
375	0.5119729857
376	0.5117325545
377	0.5112414563
378	0.510829592
379	0.5104856851
380	0.5104495491
381	0.5101140141
382	0.509924009
383	0.509343527
