Model,train_r2,test_r2,cv_r2_mean,cv_r2_std,train_rmse,test_rmse,train_mae,test_mae,train_mse,test_mse
Linear Regression,0.0319,0.0029,-0.0893,0.0455,9355.86,11382.0,3337.38,4273.24,87532076.47,129549874.87
Decision Tree,0.7318,-0.3549,-1.0876,0.5176,4924.82,13268.03,1511.09,4561.97,24253834.41,176040702.16
Random Forest,0.8392,-0.084,-0.1994,0.1103,3812.89,11867.55,1408.57,4723.21,14538099.57,140838758.58
Gradient Boosting,0.9676,-0.1737,-0.6216,0.5298,1710.63,12348.92,998.01,5000.25,2926240.92,152495707.61
