Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Mean_Residual,Std_Residual,MedAE
Linear Regression,3337.38,4273.23,87532144.7,129549785.13,9355.86,11381.99,0.0319,0.0029,1141.66,11324.59,1757.44
Decision Tree,1511.09,4561.97,24253834.41,176040702.16,4924.82,13268.03,0.7318,-0.3549,1288.65,13205.31,983.97
Random Forest,1408.57,4723.21,14538099.57,140838758.58,3812.89,11867.55,0.8392,-0.084,467.93,11858.32,1612.84
Gradient Boosting,998.01,5000.25,2926240.92,152495707.61,1710.63,12348.92,0.9676,-0.1737,540.13,12337.1,1318.82
