Item Code,CPC Code,Item
1110,'02133,Mules and hinnies
449,'01270,Mushrooms and truffles
292,'01442,Mustard seed
1182,'02910,Natural honey
836,'01950.01,Natural rubber in primary forms
702,'01653,Nutmeg; mace; cardamoms; raw
75,'0117,Oats
334,'21691.12,Oil of linseed
60,'21691.02,Oil of maize
258,'21691.14,Oil of palm kernel
290,'21691.07,Oil of sesame seed
254,'01491.01,Oil palm fruit
1730,'F1730,Oilcrops Primary
1841,'F1841,Oilcrops; Cake Equivalent
1732,'F1732,Oilcrops; Oil Equivalent
430,'01239.01,Okra
261,'2167,Olive oil
260,'01450,Olives
403,'01253.02,Onions and shallots; dry (excluding dehydrated)
402,'01253.01,Onions and shallots; green
490,'01323,Oranges
414,'01241.90,Other beans; green
558,'01355.90,Other berries and fruits of the genus vaccinium n.e.c.
1083,'02194,Other birds
1157,'02121.02,Other camelids
512,'01329,Other citrus fruit; n.e.c.
821,'01929.90,Other fibre crops; raw; n.e.c.
619,'01359.90,Other fruits; n.e.c.
1166,'21119.90,Other meat of mammals; fresh or chilled
234,'01379.90,Other nuts (excluding wild edible nuts and groundnuts); in shell; n.e.c.
339,'01449.90,Other oil seeds; n.e.c.
542,'01349.10,Other pome fruits
211,'01709.90,Other pulses n.e.c.
1150,'02192.01,Other rodents
723,'01699,Other stimulant; spice and aromatic crops; n.e.c.
541,'01349.20,Other stone fruits
161,'01809,Other sugar crops n.e.c.
603,'01319,Other tropical fruits; n.e.c.
463,'01290.90,Other vegetables; fresh n.e.c.
256,'01491.02,Palm kernels
257,'2165,Palm oil
600,'01317,Papayas
534,'01345,Peaches and nectarines
521,'01342.01,Pears
187,'01705,Peas; dry
417,'01242,Peas; green
687,'01651,Pepper (Piper spp.); raw
748,'01930.01,Peppermint; spearmint
587,'01359.01,Persimmons
1043,'21521,Pig fat; rendered
197,'01707,Pigeon peas; dry
574,'01318,Pineapples
223,'01375,Pistachios; in shell
489,'01313,Plantains and cooking bananas
536,'01346,Plums and sloes
507,'01321,Pomelos and grapefruits
296,'01448,Poppy seed
116,'01510,Potatoes
2029,'F2029,Poultry Birds
1726,'F1726,Pulses; Total
394,'01235,Pumpkins; squash and gourds
754,'01930.02,Pyrethrum; dried flowers
523,'01342.02,Quinces
92,'01194,Quinoa
1140,'02191,Rabbits and hares
788,'01929.04,Ramie; raw or retted
270,'01443,Rape or colza seed
271,'21641.01,Rapeseed or canola oil; crude
547,'01353.01,Raspberries
162,'2351f,Raw cane or beet sugar (centrifugal only)
957,'02951.03,Raw hides and skins of buffaloes
919,'02951.01,Raw hides and skins of cattle
1025,'02954,Raw hides and skins of goats or kids
995,'02953,Raw hides and skins of sheep or lambs
951,'02212,Raw milk of buffalo
1130,'02293,Raw milk of camel
882,'02211,Raw milk of cattle
1020,'02292,Raw milk of goats
982,'02291,Raw milk of sheep
1186,'26110,Raw silk (not thrown)
27,'0113,Rice
1720,'F1720,Roots and Tubers; Total
71,'0116,Rye
280,'01446,Safflower seed
281,'21631.02,Safflower-seed oil; crude
328,'01921.01,Seed cotton; unginned
289,'01444,Sesame seed
976,'02122,Sheep
1807,'F1807,Sheep and Goat Meat
1749,'F1749,Sheep and Goats
979,'21514,Sheep fat; unrendered
987,'02941,Shorn wool; greasy; including fleece-washed shorn wool
1185,'02944,Silk-worm cocoons suitable for reeling
789,'01929.05,Sisal; raw
1809,'F1809,Skim Milk & Buttermilk; Dry
898,'22212,Skim milk and whey powder
888,'22110.02,Skim milk of cows
896,'22222.02,Skim milk; condensed
895,'22221.02,Skim milk; evaporated
1176,'02920,Snails; fresh; chilled; frozen; dried; salted or in brine; except sea snails
83,'0114,Sorghum
530,'01344.01,Sour cherries
237,'2161,Soya bean oil
236,'0141,Soya beans
373,'01215,Spinach
544,'01354,Strawberries
423,'01241.01,String beans
157,'01801,Sugar beet
156,'01802,Sugar cane
1723,'F1723,Sugar Crops Primary
267,'01445,Sunflower seed
268,'21631.01,Sunflower-seed oil; crude
122,'01530,Sweet potatoes
1034,'02140,Swine / pigs
1225,'21523,Tallow
305,'01499.04,Tallowtree seeds
495,'01324,Tangerines; mandarins; clementines
136,'01550,Taro
667,'01620,Tea leaves
388,'01234,Tomatoes
1729,'F1729,Treenuts; Total
97,'01191,Triticale
777,'01929.02,True hemp; raw or retted
275,'01499.02,Tung nuts
1079,'02152,Turkeys
826,'01970,Unmanufactured tobacco
692,'01658,Vanilla; raw
1735,'F1735,Vegetables Primary
205,'01709.01,Vetches
222,'01376,Walnuts; in shell
567,'01221,Watermelons
15,'0111,Wheat
890,'22130.03,Whey; condensed
900,'22130.02,Whey; dry
897,'22211,Whole milk powder
889,'22222.01,Whole milk; condensed
894,'22221.01,Whole milk; evaporated
564,'24212.02,Wine
137,'01540,Yams
135,'01591,Yautia
891,'22230.01,Yoghurt
